YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1974,14.01,15.53,23.90,31.01,32.63,33.22,29.53,30.01,30.36,26.17,19.73,14.36,14.11,29.18,30.92,25.42,24.91
1975,13.18,15.99,22.37,29.82,34.38,31.84,29.81,28.79,27.40,26.03,18.43,15.18,14.51,28.86,30.15,23.95,24.37
1976,15.38,17.32,22.15,28.18,31.53,31.65,30.41,27.92,28.92,27.22,21.28,15.06,15.96,27.29,29.99,25.81,24.76
1977,13.93,17.25,24.21,27.95,30.73,32.13,28.04,29.46,27.96,26.47,22.00,16.30,15.41,27.63,29.88,25.48,24.60
1978,13.75,15.63,20.50,28.68,35.12,32.94,29.01,28.51,28.59,26.00,20.47,15.83,15.23,28.10,30.15,25.02,24.62
1979,14.85,15.99,21.12,29.36,30.76,33.42,30.99,30.83,29.28,27.21,21.53,16.35,15.56,27.08,31.75,26.01,25.10
1980,14.10,18.24,21.45,30.61,34.46,32.62,29.34,30.18,29.25,26.82,20.34,15.65,16.23,28.84,30.71,25.47,25.31
1981,14.36,17.79,21.35,29.32,32.83,34.21,29.91,30.39,30.40,26.08,18.75,15.20,15.93,27.83,31.50,25.08,25.09
1982,14.43,15.78,19.81,27.21,29.43,32.99,31.98,29.49,30.00,26.52,20.81,16.05,15.14,25.48,31.49,25.78,24.47
1983,13.31,16.18,21.56,25.50,30.38,32.35,30.23,29.16,29.47,25.25,19.76,15.61,15.18,25.81,30.58,24.83,24.10
1984,13.45,14.90,24.20,29.09,34.91,33.81,29.70,29.35,28.38,25.61,20.26,15.10,14.65,29.40,30.95,24.75,24.94
1985,13.63,17.86,24.51,29.45,33.56,33.85,29.48,29.73,28.92,23.91,20.51,15.93,15.53,29.17,31.02,24.45,25.04
1986,14.03,16.22,22.45,28.91,30.57,33.31,30.36,30.35,29.62,25.79,21.34,14.48,15.39,27.31,31.34,25.58,24.91
1987,14.67,18.64,23.31,29.16,29.69,34.49,34.24,32.09,31.43,27.45,20.78,15.61,15.93,27.39,33.61,26.55,25.87
1988,14.83,18.63,22.47,30.24,35.30,32.33,29.75,28.84,29.80,25.30,19.31,15.07,16.36,29.34,30.31,24.80,25.20
1989,12.57,16.01,21.65,27.23,32.83,32.52,31.22,29.83,28.88,26.42,19.46,14.37,14.55,27.24,31.19,24.92,24.47
1990,16.38,16.34,20.92,28.45,31.55,34.19,29.95,29.69,28.44,25.17,19.75,15.72,15.70,26.97,31.28,24.45,24.60
1991,12.91,17.46,22.67,27.75,32.68,33.02,32.88,29.82,29.57,25.40,19.77,14.59,15.36,27.70,31.91,24.91,24.97
1992,14.35,15.86,22.77,27.92,999.90,34.11,30.72,29.82,28.25,25.47,20.12,16.68,14.93,27.67,31.55,24.61,24.69
1993,14.27,18.90,20.75,28.23,33.58,33.45,30.15,31.53,28.08,25.74,20.75,15.55,16.62,27.52,31.71,24.86,25.18
1994,14.67,16.68,23.87,27.02,33.02,33.95,29.63,29.11,29.28,25.17,20.07,16.59,15.63,27.97,30.90,24.84,24.84
1995,13.42,17.07,21.14,27.96,33.92,35.35,31.67,28.46,29.51,26.77,20.42,15.82,15.69,27.67,31.83,25.57,25.19
1996,13.72,17.26,23.50,28.65,32.35,31.64,30.60,28.55,29.08,25.42,19.71,14.48,15.60,28.17,30.26,24.74,24.69
1997,13.02,16.54,21.77,26.57,30.53,31.23,31.05,29.37,29.13,23.81,19.24,12.53,14.68,26.29,30.55,24.06,23.89
1998,12.93,16.97,20.12,28.94,34.04,33.05,30.84,29.70,29.87,25.10,20.35,14.83,14.14,27.70,31.20,25.11,24.54
